date,region,product,units_sold,revenue,cost
2025-01-15,North,Widget A,120,3600,2400
2025-01-15,South,Widget B,85,2550,1700
2025-01-15,East,Widget A,95,2850,1900
2025-01-15,West,Widget C,60,2400,1800
2025-02-15,North,Widget B,110,3300,2200
2025-02-15,South,Widget A,75,2250,1500
2025-02-15,East,Widget C,130,5200,3900
2025-02-15,West,Widget A,90,2700,1800
2025-03-15,North,Widget C,140,5600,4200
2025-03-15,South,Widget A,65,1950,1300
2025-03-15,East,Widget B,100,3000,2000
2025-03-15,West,Widget B,80,2400,1600
2025-04-15,North,Widget A,155,4650,3100
2025-04-15,South,Widget C,70,2800,2100
2025-04-15,East,Widget A,115,3450,2300
2025-04-15,West,Widget C,95,3800,2850
2025-05-15,North,Widget B,125,3750,2500
2025-05-15,South,Widget B,90,2700,1800
2025-05-15,East,Widget C,105,4200,3150
2025-05-15,West,Widget A,80,2400,1600
2025-06-15,North,Widget C,160,6400,4800
2025-06-15,South,Widget A,55,1650,1100
2025-06-15,East,Widget B,120,3600,2400
2025-06-15,West,Widget B,70,2100,1400
